year,month,harvest_level,open,high,low,close_x,volume,temp,CPI,Export Index,close_y,Oil Price
2004,1,1.0,418.2152500152588,419.8230833530426,417.15108335812886,419.18666669527687,1450.2083333333333,20.3,185.2,129.0,266.73,31.96
2004,2,1.0,419.03043864066143,421.6637719304938,417.9281579402455,421.1261403435155,1223.877192982456,27.4,186.2,137.1,282.96,32.45
2004,3,1.0,471.0371533136298,472.35459858135584,469.6476642580798,471.1227007121065,609.9051094890511,41.1,187.4,144.0,302.49,34.69
2004,4,1.0,488.92476187811957,490.89071429721895,487.0873809239221,488.77325392526296,978.6507936507936,50.4,188.0,154.0,315.56,34.31
2004,5,1.0,488.4278991122206,489.9985713798459,486.1638654821059,486.47546212012026,683.5210084033613,60.0,189.1,150.3,299.81,37.64
2004,6,1.0,449.2416794027081,451.1275572449196,447.32167939921374,449.21702288853305,1265.9389312977098,67.1,189.7,146.0,286.19,35.31
2004,7,3.0,404.6384920544094,406.0094444335453,403.0373809451149,402.6092063358852,541.3174603174604,71.2,189.4,125.9,235.63,37.5
2004,8,2.0,346.52999999306417,347.7410606181983,345.6690151330196,347.8067424225085,926.3257575757576,67.5,189.5,116.4,224.8,41.69
2004,9,3.0,342.0647200469971,343.2274400482178,341.1036000518799,341.23200003051755,893.896,66.5,189.9,117.7,213.99,42.62
2004,10,5.0,320.4853174421522,321.7709523761083,319.5098412831624,320.73071428329223,1210.5555555555557,53.9,190.9,104.7,204.98,49.66
2004,11,4.0,324.3964285774836,325.4203174530514,323.6223809529865,324.9548413110158,1447.6190476190477,43.7,191.0,99.4,198.94,45.77
2004,12,1.0,334.21503819764115,335.1345801753852,333.67610688245935,334.6638168014643,187.61832061068702,28.9,190.3,106.3,200.58,40.58
2005,1,1.0,320.8063333352407,321.3607500076294,320.3098333358765,320.5496666908264,366.1166666666667,24.5,190.7,109.6,200.12,43.33
2005,2,1.0,317.2696491207993,318.45394738515216,316.92359651599014,318.62070177312484,341.0964912280702,32.4,191.8,104.8,200.34000000000003,43.62
2005,3,1.0,346.91560606522995,347.99015150648177,346.15537880406237,346.8543181997357,431.27272727272725,35.0,193.3,112.2,213.82,49.5
2005,4,1.0,343.0065873009818,343.95857146429637,342.4881746201288,342.6782539609879,248.86507936507937,51.5,194.6,109.4,207.88,48.06
2005,5,1.0,346.53682536170595,347.4896825305999,346.06595234643845,347.01285714951774,434.984126984127,57.1,194.4,107.7,208.11,44.45
2005,6,1.0,353.3059848583106,355.3107575792255,351.94272727677316,352.77939394748574,752.689393939394,74.2,194.5,111.5,221.84,50.83
2005,7,3.0,350.49899996121724,351.88224999109906,348.97424999872845,350.8949999809265,204.85,75.6,195.4,116.6,236.42,53.37
2005,8,2.0,341.2160869266676,341.9893477895985,340.4618840701338,339.9309420240098,168.02173913043478,74.3,196.4,113.7,215.16,58.96
2005,9,3.0,331.78436507875955,332.2559523809524,331.462936507331,332.1273809311882,192.11111111111111,69.4,198.8,108.8,204.21,59.38
2005,10,5.0,345.0602380964491,345.78523809947666,344.4480158639333,345.2615872791835,409.3174603174603,55.2,199.2,111.2,202.06,56.4
2005,11,4.0,344.4295419736673,345.0472518833539,343.74458015966053,344.0307633494603,313.08396946564886,42.0,197.6,109.7,192.89,52.5
2005,12,1.0,359.22698411487397,360.0297619198996,358.7689682491242,360.120158710177,369.5,23.3,196.8,111.5,201.82,53.16
2006,1,1.0,369.6964166323344,370.79558332761127,369.0237500190735,369.71783334414164,729.1916666666667,35.8,198.3,115.7,213.39,59.01
2006,2,1.0,379.66798246952527,381.0152631391559,378.619736838759,379.80815788737516,858.2719298245614,28.2,198.7,117.2,222.96,56.1
2006,3,1.0,375.4805072425068,376.0111594269241,374.9594202456267,375.38021738632864,462.8695652173913,38.3,199.8,119.5,223.59,56.46
2006,4,1.0,379.01350874649853,379.9552631712796,378.19008775342974,379.283333343372,495.82456140350877,53.1,201.5,119.8,236.82,63.57000000000001
2006,5,1.0,399.2601515163075,400.3389393922054,398.14522725885564,399.24386364040953,845.810606060606,59.6,202.5,118.7,245.48,64.17
2006,6,1.0,404.4667424433159,405.65136367624456,403.30651515902895,404.19863638733375,848.439393939394,68.3,202.9,124.8,238.12,64.26
2006,7,3.0,416.21266665458677,417.23666666348777,415.2614999930064,415.48600001335143,495.40833333333336,76.5,203.5,125.4,244.35,67.56
2006,8,2.0,397.7648550807566,400.5260145076807,394.14282612178636,397.0425362517868,2017.6376811594203,74.3,203.9,127.3,229.78,66.29
2006,9,3.0,398.98825001716614,401.941583331426,397.32375005086266,399.7224167029063,8665.841666666667,62.4,202.9,128.8,241.92,57.65
2006,10,5.0,437.40946967674023,444.13977270415336,433.07083335067284,439.088484879696,15195.34090909091,49.0,201.8,141.1,303.26,52.59
2006,11,4.0,467.8304579931361,472.5994656104168,464.11847327137724,468.40183205640955,13334.442748091604,42.8,201.5,170.5,356.12,52.45
2006,12,1.0,471.0799166679382,474.43075002034504,468.1741666952769,471.2376666863759,7915.05,33.8,201.8,178.9,369.61,55.25
2007,1,1.0,487.2289343974629,491.3398360424354,482.79786885370976,486.99450818046193,19112.45901639344,27.9,202.416,171.4,390.88,48.21
2007,2,1.0,491.3828947167647,496.5214035469189,487.5377192915532,492.24350879066867,17611.605263157893,17.9,203.499,187.1,411.22,52.77
2007,3,1.0,495.71340907703745,498.84666666840064,491.10553030534226,494.6106060779456,12594.628787878788,42.5,205.352,194.9,402.01,54.08
2007,4,1.0,482.37683329582217,487.9036666870117,477.32233333587646,482.1444166183472,17438.483333333334,46.8,206.686,167.1,361.55,57.39
2007,5,1.0,489.71401512261593,494.11500000231194,486.50719700437605,490.83128784642076,13811.295454545454,63.800000000000004,207.949,178.0,370.28,56.95
2007,6,1.0,522.1046825893342,529.5008730812679,515.6693650503007,522.3156349545434,21487.222222222223,71.3,208.352,185.7,380.98,60.62
2007,7,3.0,520.5117459978376,525.5094445243715,515.6322222512866,520.4982539585659,6377.5,73.7,208.299,166.5,325.98,67.24
2007,8,2.0,527.3137681104134,533.5243479410807,523.474420271058,528.7052174167356,7030.195652173913,74.8,207.917,166.7,330.88,65.72
2007,9,3.0,592.5514912187008,599.5151754011188,588.7255262742963,595.1139474166067,15416.745614035088,68.1,208.49,173.4,351.04,72.25
2007,10,5.0,612.8154348290485,619.768333296845,606.3252898782923,612.9235507854517,24843.27536231884,59.0,208.936,178.4,357.86,78.92
2007,11,4.0,641.0074603065611,647.9379364800832,635.4170635162837,642.5859523652092,21915.61111111111,39.4,210.177,191.0,381.55,88.46
2007,12,1.0,696.9115833600362,703.492916615804,691.6792499860128,699.1202500025431,16709.591666666667,27.8,210.036,197.0,423.79,85.26
2008,1,1.0,748.2419048793732,758.688253977942,740.2062698848664,750.1512697916182,29151.06349206349,23.5,211.08,220.4,488.57,86.27
2008,2,1.0,838.1839999516804,851.7404165903728,827.2857500394185,842.8655832290649,38059.666666666664,23.0,211.693,238.0,516.08,88.32
2008,3,1.0,893.5675000826518,908.8180833816529,877.2287501017253,888.2115833918253,20707.016666666666,34.9,213.528,257.0,547.69,97.67
2008,4,1.0,914.5538636698867,929.4700757228967,895.9687878290812,914.1429545373628,34134.666666666664,49.4,214.823,270.4,593.36,105.53
2008,5,1.0,884.5947619544136,897.8032538701617,871.0645238482763,882.8518254113576,22485.214285714286,55.5,216.632,270.4,597.86,118.41
2008,6,1.0,919.1641271379259,937.5457141210162,906.1323016030448,923.0003969404432,42467.968253968254,70.8,218.815,279.1,698.89,127.6
2008,7,3.0,888.0700758442734,897.4535605112711,872.3971969720089,885.1222726359512,13315.507575757576,74.0,219.964,322.5,641.62,127.52
2008,8,2.0,800.5320634690542,814.8921428559319,785.864444490463,800.0837302132259,13139.642857142857,72.7,219.086,230.2,549.32,110.55
2008,9,3.0,798.4100793808226,810.1394444420224,784.7821429116385,796.8661904713464,26167.015873015873,66.1,218.783,255.7,539.82,98.04
2008,10,5.0,648.6872463640959,662.1950725057851,631.8260869150577,641.4800724499468,41060.20289855073,52.6,216.573,212.2,412.63,70.57
2008,11,4.0,589.4125438656723,600.50298247421,577.1485087578757,587.3364913003486,32947.93859649123,39.3,212.425,189.7,373.81999999999994,51.3
2008,12,1.0,578.8288636496573,589.9696969263481,569.5097727486582,581.2730303099661,23505.219696969696,22.9,210.228,158.0,362.38,34.91
2009,1,1.0,603.7646666208904,613.6130000432332,593.0429166793823,601.3994166692098,30523.641666666666,15.8,211.143,197.1,390.96,35.38
2009,2,1.0,552.1406140411109,561.7373685167547,543.295701746355,551.540701749032,37198.15789473684,28.2,212.193,185.0,361.88,32.81
2009,3,1.0,547.6578030008259,556.1462878602924,541.2373484264721,549.5031060161012,21326.560606060608,39.6,212.709,176.3,376.5,41.49
2009,4,1.0,581.3234126378619,589.9029365115696,573.6957936059861,583.0411905561175,32282.095238095237,47.3,213.24,192.0,387.23,43.88
2009,5,1.0,613.6529166857401,620.8582499504089,608.459583346049,616.3187499682109,22165.666666666668,59.9,213.85600000000002,195.7,417.9800000000001,52.56000000000001
2009,6,1.0,630.2117423722239,638.1073484709768,619.633409095533,628.6607575850053,37737.71212121212,67.6,215.693,210.9,412.45,63.08
2009,7,3.0,586.3377272576997,594.5728029771285,578.141212087689,586.5540151885061,12055.030303030304,69.4,215.351,169.6,331.97,58.27
2009,8,2.0,591.2340476626441,600.0687301877945,583.3987301115005,591.0257937113444,14286.325396825398,70.5,215.834,173.9,327.14,64.45
2009,9,3.0,475.8007895151774,481.4164912240547,468.4008771327504,474.27491234896473,24070.736842105263,65.4,215.969,161.4,322.39,62.92999999999999
